,name,gender,frequency
198,ALIAKSEI,M,0.00016101349477180116
199,STEPAN,M,0.00015929620067227257
218,KARYNA,F,0.0001588840500883857
200,GUSTAW,M,0.0001586550775417819
201,VALENTYN,M,0.00015819713244857425
202,KONSTANTY,M,0.00015698357795157405
203,MIESZKO,M,0.00015501441405078127
219,ZLATA,F,0.0001549686195414605
220,ALISA,F,0.00015464805797621515
221,LUDWIKA,F,0.0001542130101376679
222,KIRA,F,0.00015412142111902638
223,ULIANA,F,0.00015391534582708295
224,YEVA,F,0.00015377796229912067
204,SAMUEL,M,0.00015224384623687513
225,BERNADETTA,F,0.00015125926428647874
226,LIDIIA,F,0.00015050365488268616
205,CYPRIAN,M,0.00014997701802549739
227,MAYA,F,0.0001487176690191764
228,OLESIA,F,0.00014617607375187408
229,ZENONA,F,0.000145809717677308
206,BENEDYKT,M,0.00014338260868330756
230,LILIA,F,0.00014173400634776012
231,RITA,F,0.0001407723216520241
232,EMMA,F,0.00014010830126687306
233,IDA,F,0.00013878026049657092
207,BRAJAN,M,0.00013855128794996712
208,TYMOFII,M,0.00013839100716734446
209,RAJMUND,M,0.00013827652089404253
234,ANETTA,F,0.00013811624011141987
235,WACŁAWA,F,0.00013802465109277834
236,DONATA,F,0.00013754380874491035
237,MYROSLAVA,F,0.00013694848012374042
238,LUDMIŁA,F,0.0001360325899373252
239,FELICJA,F,0.00013516249426023068
240,KSENIIA,F,0.00013470454916702306
241,WALENTYNA,F,0.00013399473427255125
210,SERGII,M,0.00013333071388740018
211,EDUARD,M,0.00013177370057049426
242,KRISTINA,F,0.0001308807076387394
212,DAVYD,M,0.00013023958450824873
213,GIORGI,M,0.0001298732284336826
243,AMANDA,F,0.00012971294765105995
214,FLORIAN,M,0.0001290260300112485
245,RUSLANA,F,0.00012888864648328622
244,ARINA,F,0.00012888864648328622
215,ROSTYSLAV,M,0.00012847649589939935
216,YAUHENI,M,0.00012504190770034216
246,ZENOBIA,F,0.00012435499006053073
217,KEVIN,M,0.00012369096967537965
247,HILDEGARDA,F,0.00012348489438343625
248,ROMUALDA,F,0.00012263769596100214
249,ALENA,F,0.00012245451792371908
250,OTYLIA,F,0.00012163021675594536
251,DARIIA,F,0.00012149283322798307
252,VITA,F,0.00012126386068137926
218,IWO,M,0.00011979843638311485
253,GIZELA,F,0.00011737132738911443
254,ALBINA,F,0.00011693627955056719
255,ANASTASIYA,F,0.00011689048504124643
256,GAJA,F,0.00011556244427094431
257,IRMINA,F,0.0001154479579976424
219,RUDOLF,M,0.00011455496506588754
220,MARCELI,M,0.00011407412271801954
258,YULIYA,F,0.00011357038311549114
259,SOLOMIIA,F,0.00011290636273034009
221,LEO,M,0.00011263159567441551
222,LEONID,M,0.00011176149999732101
